input_key,domains_used,type_tags,instrument_or_source,caregiver_direct_yes_no,psychologist_admin_yes_no,must_be_self_report_yes_no,derived_from_items_yes_no,system_filled_yes_no,caregiver_answerable_yes_no,psychologist_answerable_yes_no,presence_flag_yes_no
age_years,adhd;conduct;elimination;anxiety;depression,direct_question|caregiver_answerable|psychologist_answerable,DEMOGRAPHIC,si,si,no,no,no,si,si,no
ari_p_symptom_total,conduct,derived|caregiver_answerable|psychologist_answerable,ARI_P,no,no,no,si,no,si,si,no
ari_sr_symptom_total,conduct,derived|child_self_report_only|psychologist_answerable,ARI_SR,no,no,si,si,no,no,si,no
cbcl_001,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_002,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_003,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_004,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_005,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_006,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_007,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_008,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_009,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_010,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_011,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_012,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_013,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_014,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_015,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_016,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_017,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_018,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_019,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_020,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_021,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_022,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_023,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_024,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_025,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_026,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_027,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_028,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_029,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_030,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_031,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_032,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_033,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
cbcl_034,anxiety,direct_question|caregiver_answerable|psychologist_answerable,CBCL,si,si,no,no,no,si,si,no
