feature,importance
num__swan_total,0.1613760766802276
num__swan_inattention_total,0.1539951273291976
num__cbcl_attention_problems_proxy,0.11723654565153868
num__swan_hyperactive_impulsive_total,0.1103133234857537
num__cbcl_rule_breaking_proxy,0.07666637698062594
num__cbcl_externalizing_proxy,0.07552343589446488
num__sdq_total_difficulties,0.056529447544924664
num__cbcl_aggressive_behavior_proxy,0.0449569179958194
num__sdq_conduct_problems,0.032907553837613464
num__sdq_peer_problems,0.030931451937612854
num__sdq_hyperactivity_inattention,0.03084128963599699
num__sdq_emotional_symptoms,0.027655678217845182
num__sdq_prosocial_behavior,0.02256029074539181
num__age_years,0.011893266623351599
num__cbcl_internalizing_proxy,0.011891571991683517
num__cbcl_anxious_depressed_proxy,0.011500966859769998
num__sdq_impact,0.009748705852863932
cat__sex_assigned_at_birth_Male,0.0026046048186457926
cat__site_CBIC,0.0025772453170989917
cat__sex_assigned_at_birth_Female,0.002282345064463904
cat__site_RUBIC,0.0017883872863181285
cat__site_Staten Island,0.0017107307280768839
cat__site_CUNY,0.0012894512123482532
num__conners_hyperactivity,0.00018838191734480523
num__ysr_attention_problems_proxy,0.00018242672190834234
num__conners_total,0.0001655955116125641
num__ysr_aggressive_behavior_proxy,0.00014779348927351923
num__ysr_externalizing_proxy,0.00013745396137922653
num__conners_conduct_problems,0.00012945914077449792
num__conners_cognitive_problems,9.225289637919831e-05
num__ysr_rule_breaking_proxy,8.87128713560669e-05
num__ysr_anxious_depressed_proxy,5.046256621197579e-05
num__ysr_internalizing_proxy,3.66692321259903e-05
num__has_cbcl,0.0
num__release,0.0
num__has_ysr,0.0
cat__sex_assigned_at_birth_Unknown,0.0
num__has_sdq,0.0
num__has_swan,0.0
num__has_conners,0.0
