feature,importance_mean,importance_std
cat__sex_assigned_at_birth_Male,0.01022111801242236,0.0031804968725763225
num__sdq_04,0.002484472049689401,0.0012422360248447006
num__cbcl_072,0.001863354037267051,0.0015214222004864217
num__sdq_15,0.001863354037267051,0.0015214222004864217
num__cbcl_100,0.001863354037267051,0.0015214222004864217
num__cbcl_031,0.001863354037267051,0.0015214222004864217
num__cbcl_096,0.001863354037267051,0.0015214222004864217
num__cbcl_038,0.0012422360248447006,0.0015214222004864217
num__cbcl_005,0.0012422360248447006,0.0015214222004864217
num__cbcl_043,0.0012422360248447006,0.0015214222004864217
num__cbcl_034,0.0012422360248447006,0.0015214222004864217
num__cbcl_093,0.0012422360248447006,0.0015214222004864217
num__sdq_16,0.0010633540372670502,0.0016991609318664984
num__cbcl_091,0.0008844720496893998,0.002892147437640283
num__swan_10,0.0008000000000000007,0.001203715811217958
num__has_conners,0.0006211180124223503,0.0008672195514374503
num__sdq_emotional_symptoms,8.447204968939915e-05,0.001549768976910651
num__ysr_058,0.0,0.0
num__ysr_057,0.0,0.0
num__ysr_056,0.0,0.0
num__ysr_055,0.0,0.0
num__ysr_054,0.0,0.0
num__ysr_053,0.0,0.0
num__ysr_044,0.0,0.0
num__ysr_045,0.0,0.0
num__ysr_050,0.0,0.0
num__ysr_046,0.0,0.0
num__ysr_047,0.0,0.0
num__ysr_052,0.0,0.0
num__ysr_051,0.0,0.0
num__ysr_048,0.0,0.0
num__ysr_049,0.0,0.0
num__ysr_059,0.0,0.0
num__ysr_064,0.0,0.0
num__ysr_060,0.0,0.0
num__ysr_061,0.0,0.0
num__ysr_080,0.0,0.0
num__ysr_079,0.0,0.0
num__ysr_012,0.0,0.0
num__ysr_077,0.0,0.0
num__ysr_076,0.0,0.0
num__ysr_075,0.0,0.0
num__ysr_074,0.0,0.0
num__ysr_073,0.0,0.0
num__ysr_072,0.0,0.0
num__ysr_071,0.0,0.0
num__ysr_070,0.0,0.0
num__ysr_069,0.0,0.0
num__ysr_068,0.0,0.0
num__ysr_067,0.0,0.0
num__ysr_066,0.0,0.0
num__ysr_065,0.0,0.0
num__ysr_042,0.0,0.0
num__ysr_063,0.0,0.0
num__ysr_062,0.0,0.0
num__ysr_043,0.0,0.0
num__ysr_041,0.0,0.0
num__cbcl_106,0.0,0.0
num__ysr_023,0.0,0.0
num__sdq_10,0.0,0.0019641476150113846
num__ysr_022,0.0,0.0
num__ysr_021,0.0,0.0
num__ysr_020,0.0,0.0
num__ysr_019,0.0,0.0
num__sdq_23,0.0,0.0
num__ysr_018,0.0,0.0
num__ysr_017,0.0,0.0
num__ysr_016,0.0,0.0
num__ysr_015,0.0,0.0
num__ysr_014,0.0,0.0
num__ysr_013,0.0,0.0
num__ysr_002,0.0,0.0
num__ysr_003,0.0,0.0
num__ysr_004,0.0,0.0
num__ysr_005,0.0,0.0
num__ysr_006,0.0,0.0
num__ysr_007,0.0,0.0
num__ysr_008,0.0,0.0
num__ysr_009,0.0,0.0
num__ysr_010,0.0,0.0
num__sdq_09,0.0,0.0
num__ysr_024,0.0,0.0
num__cbcl_107,0.0,0.0
num__ysr_025,0.0,0.0
num__ysr_082,0.0,0.0
num__ysr_040,0.0,0.0
num__ysr_039,0.0,0.0
num__ysr_038,0.0,0.0
num__ysr_037,0.0,0.0
num__cbcl_113,0.0,0.0
