feature,importance
num__swan_inattention_total,0.13811316899984405
num__comorbidity_count_5targets,0.12414853381503642
num__cbcl_attention_problems_proxy,0.10878135614353335
num__swan_hyperactive_impulsive_total,0.10777158344040015
num__swan_total,0.09153997948677786
num__cbcl_externalizing_proxy,0.0851351418528889
num__cbcl_rule_breaking_proxy,0.08203038335951009
num__cbcl_aggressive_behavior_proxy,0.07064354571913296
num__sdq_total_difficulties,0.03898258942608768
num__sdq_conduct_problems,0.03295816938010687
num__sdq_hyperactivity_inattention,0.031701437761381304
num__sdq_emotional_symptoms,0.019140364053858223
num__cbcl_internalizing_proxy,0.01701936456808801
num__age_years,0.014091732837103648
num__cbcl_anxious_depressed_proxy,0.01328246499146011
num__sdq_impact,0.009505017532145311
cat__site_CBIC,0.0026388254585818427
cat__sex_assigned_at_birth_Female,0.0025010195034529284
cat__sex_assigned_at_birth_Male,0.0023401748495529154
cat__site_CUNY,0.0021446376029813537
cat__site_Staten Island,0.0019925165546870673
cat__site_RUBIC,0.0018788217457891172
num__conners_conduct_problems,0.0008565250992215588
num__conners_total,0.0004792334517276782
num__conners_hyperactivity,0.0003234123666506697
cat__sex_assigned_at_birth_Unknown,1.3478162943042816e-18
num__release,0.0
num__has_swan,0.0
num__has_sdq,0.0
num__has_cbcl,0.0
num__has_conners,0.0
