feature,importance
num__swan_inattention_total,0.15033637383069345
num__swan_total,0.13882622591089558
num__cbcl_attention_problems_proxy,0.13473688081460594
num__swan_hyperactive_impulsive_total,0.12114176673905278
num__cbcl_rule_breaking_proxy,0.0923010108148825
num__cbcl_externalizing_proxy,0.0909812287288359
num__sdq_total_difficulties,0.053511096583045856
num__cbcl_aggressive_behavior_proxy,0.039285354353167705
num__sdq_conduct_problems,0.028012782877802244
num__sdq_emotional_symptoms,0.027446334219140098
num__sdq_hyperactivity_inattention,0.025985869635457893
num__sdq_impact,0.02142127368390949
num__cbcl_internalizing_proxy,0.021387513206257258
num__age_years,0.017933995924759187
num__cbcl_anxious_depressed_proxy,0.016610185292348423
cat__site_CBIC,0.0038419482536855135
cat__sex_assigned_at_birth_Female,0.0032843639386003487
cat__sex_assigned_at_birth_Male,0.0030322267636101797
cat__site_CUNY,0.002777930186457689
cat__site_Staten Island,0.002768332171019309
cat__site_RUBIC,0.002548781260872013
num__conners_total,0.0008093072710372733
num__conners_conduct_problems,0.0006095022743130012
num__conners_hyperactivity,0.00040971526555040117
num__release,0.0
num__has_cbcl,0.0
num__has_sdq,0.0
num__has_conners,0.0
num__has_swan,0.0
cat__sex_assigned_at_birth_Unknown,0.0
