feature,importance
num__comorbidity_count_5targets,0.17335506144585047
num__cbcl_internalizing_proxy,0.15532136580112785
num__cbcl_anxious_depressed_proxy,0.11422704331121865
num__scared_p_total,0.046409570405359986
num__sdq_total_difficulties,0.045973673316823026
num__scared_sr_total,0.04129745548402704
num__scared_sr_social_anxiety,0.03830945928387127
num__scared_sr_separation_anxiety,0.03210083841627288
num__sdq_peer_problems,0.029908405767379444
num__sdq_hyperactivity_inattention,0.029827369244437206
num__scared_sr_generalized_anxiety,0.029415975953604727
num__sdq_conduct_problems,0.028969612905382545
num__scared_p_generalized_anxiety,0.02454042546376937
num__scared_sr_panic_somatic,0.022012695296001878
num__scared_p_panic_somatic,0.016862915893206227
num__scared_p_separation_anxiety,0.016058589801635752
num__sdq_emotional_symptoms,0.014533220053906353
num__sdq_prosocial_behavior,0.013880352231092194
num__cbcl_externalizing_proxy,0.01320898190524865
num__scared_p_school_avoidance,0.013099970012184917
num__scared_sr_possible_anxiety_disorder_cut25,0.012628456325429457
num__cbcl_rule_breaking_proxy,0.012457123263234181
num__cbcl_attention_problems_proxy,0.012001053464307727
num__scared_sr_school_avoidance,0.011018442787908434
num__cbcl_aggressive_behavior_proxy,0.009941723295852594
num__age_years,0.009636807854425986
num__scared_p_social_anxiety,0.008665367192377526
num__sdq_impact,0.008613684889469462
num__scared_p_possible_anxiety_disorder_cut25,0.00548665205086497
cat__sex_assigned_at_birth_Female,0.0020874617178969004
cat__site_CBIC,0.001979615062905797
cat__site_RUBIC,0.0018385076826337291
cat__sex_assigned_at_birth_Male,0.0016135415375308554
cat__site_Staten Island,0.0014521219845055598
cat__site_CUNY,0.001266458898256546
num__has_sdq,0.0
num__release,0.0
num__has_cbcl,0.0
num__has_scared_sr,0.0
num__has_scared_p,0.0
cat__sex_assigned_at_birth_Unknown,0.0
