feature,importance_mean,importance_std
cat__sex_assigned_at_birth_Male,0.0632447204968944,0.007870117292032368
num__has_sdq,0.01535900621118016,0.013852569549151416
num__cbcl_externalizing_proxy,0.008000000000000007,0.007323033521221502
num__cbcl_internalizing_proxy,0.004800000000000004,0.0029933259094191557
num__has_cbcl,0.0018633540372670731,0.0037421460776283287
num__sdq_conduct_problems,0.0016944099378882528,0.005158840945974924
num__scared_sr_total,0.0012422360248447006,0.0035457864241502006
num__scared_p_total,0.0010633540372670502,0.0016991609318664984
num__scared_sr_generalized_anxiety,0.0006211180124223503,0.004394552814655979
num__sdq_peer_problems,0.0003577639751553008,0.0022717695068508142
cat__sex_assigned_at_birth_Female,0.0001788819875776504,0.0025549941412690035
num__scared_sr_separation_anxiety,0.0,0.0
num__cbcl_aggressive_behavior_proxy,0.0,0.004650464487869329
num__release,0.0,0.0
num__sdq_emotional_symptoms,0.0,0.0
num__cbcl_anxious_depressed_proxy,0.0,0.0
num__scared_p_panic_somatic,0.0,0.0
num__scared_sr_panic_somatic,0.0,0.0
num__sdq_prosocial_behavior,0.0,0.0025298221281347057
num__scared_p_separation_anxiety,0.0,0.0
num__scared_p_generalized_anxiety,0.0,0.0
num__sdq_impact,-0.0002633540372670495,0.0026736705728284318
num__scared_p_possible_anxiety_disorder_cut25,-0.0003577639751553008,0.0022717695068508142
num__scared_sr_social_anxiety,-0.0004422360248446999,0.0026195998075821563
num__cbcl_rule_breaking_proxy,-0.000526708074534099,0.004827538251931178
num__has_scared_sr,-0.0006211180124223503,0.0012422360248447006
num__scared_p_social_anxiety,-0.0006211180124223503,0.0012422360248447006
num__comorbidity_count_5targets,-0.0008000000000000007,0.0029933259094191557
num__sdq_hyperactivity_inattention,-0.0010633540372670502,0.0016991609318664984
num__sdq_total_difficulties,-0.0012422360248447006,0.0036991444431803094
num__scared_sr_possible_anxiety_disorder_cut25,-0.001421118012422351,0.003083725266872232
num__scared_p_school_avoidance,-0.001863354037267051,0.0015214222004864217
num__scared_sr_school_avoidance,-0.001863354037267051,0.0015214222004864217
num__cbcl_attention_problems_proxy,-0.002484472049689401,0.002613825184590216
num__has_scared_p,-0.004442236024844703,0.0026195998075821568
num__age_years,-0.006305590062111755,0.0016000000000000014
