feature,importance_mean,importance_std
cat__sex_assigned_at_birth_Male,0.07399254658385099,0.015250549955584045
num__cbcl_externalizing_proxy,0.017768944099378948,0.007435695705071405
num__has_sdq,0.014380124223602575,0.010649519543250044
num__release,0.0032000000000000028,0.0016000000000000012
num__scared_p_social_anxiety,0.0032000000000000028,0.0016000000000000014
num__cbcl_rule_breaking_proxy,0.0031155279503106035,0.00151145772545796
num__comorbidity_count_5targets,0.002400000000000002,0.001959591794226544
num__cbcl_internalizing_proxy,0.0019577639751553024,0.0016991609318664984
num__scared_p_school_avoidance,0.0019577639751553024,0.003960700426992863
num__cbcl_attention_problems_proxy,0.001336645962732952,0.00459275070654893
num__sdq_impact,0.0003577639751553008,0.003182747365349
num__scared_p_generalized_anxiety,0.0,0.0
num__sdq_emotional_symptoms,0.0,0.0
num__scared_p_panic_somatic,0.0,0.0
num__scared_p_separation_anxiety,0.0,0.0
num__cbcl_anxious_depressed_proxy,0.0,0.0
num__sdq_conduct_problems,-8.447204968939915e-05,0.0033509108962681182
cat__sex_assigned_at_birth_Female,-0.0004422360248446999,0.0026195998075821563
num__cbcl_aggressive_behavior_proxy,-0.0006211180124223503,0.007690458396052999
num__scared_p_total,-0.0010633540372670502,0.0030474822185504935
num__has_cbcl,-0.0012422360248447006,0.0015214222004864217
num__sdq_hyperactivity_inattention,-0.0012422360248447006,0.0015214222004864217
num__sdq_peer_problems,-0.001421118012422351,0.003083725266872232
num__sdq_prosocial_behavior,-0.001863354037267051,0.0015214222004864217
num__sdq_total_difficulties,-0.002400000000000002,0.0019595917942265445
num__scared_p_possible_anxiety_disorder_cut25,-0.002578881987577608,0.004282076771203441
num__age_years,-0.0031055900621117516,0.0
num__has_scared_p,-0.004084472049689402,0.00271490846644477
