feature,importance_mean,importance_std
num__has_sdq,0.01067329192546589,0.008087887286506272
num__scared_p_social_anxiety,0.005505590062111776,0.0016519478666641209
num__scared_p_total,0.005505590062111776,0.0027745046140807052
num__cbcl_attention_problems_proxy,0.004884472049689404,0.002892147437640283
num__cbcl_rule_breaking_proxy,0.0046211180124223535,0.0023240107992384355
num__cbcl_aggressive_behavior_proxy,0.004442236024844703,0.004269806465317051
num__age_years,0.004442236024844703,0.0028798192742784533
num__cbcl_externalizing_proxy,0.003662111801242318,0.0057497919309266055
num__sdq_impact,0.0036422360248447028,0.0022717695068508142
num__scared_p_school_avoidance,0.0030211180124223524,0.002501931201162333
num__scared_p_possible_anxiety_disorder_cut25,0.001421118012422351,0.0054502408730127475
num__sdq_peer_problems,0.0008000000000000007,0.0039044456465020267
num__sdq_emotional_symptoms,0.0,0.0
num__scared_p_panic_somatic,0.0,0.0
num__cbcl_anxious_depressed_proxy,0.0,0.0
num__scared_p_generalized_anxiety,0.0,0.0
num__cbcl_internalizing_proxy,-0.0001788819875776504,0.004057817548963549
num__scared_p_separation_anxiety,-0.0004422360248446999,0.0026195998075821563
num__sdq_conduct_problems,-0.0006211180124223503,0.0013649681301112016
num__has_scared_p,-0.0008844720496893998,0.0018427079805738203
num__sdq_prosocial_behavior,-0.0010633540372670502,0.0016991609318664984
cat__sex_assigned_at_birth_Female,-0.0012422360248447006,0.00316709286558553
num__has_cbcl,-0.001863354037267051,0.0015214222004864217
num__release,-0.002484472049689401,0.0023240107992384355
cat__sex_assigned_at_birth_Male,-0.0032745341614906385,0.0014477801218952214
num__sdq_total_difficulties,-0.0038111801242235455,0.0065666170787401865
num__sdq_hyperactivity_inattention,-0.004168944099378802,0.0020780288190981933
