feature,importance
num__cbcl_rule_breaking_proxy,0.11221945356774803
num__ari_sr_symptom_total,0.10141749091791001
num__cbcl_externalizing_proxy,0.09443036683184121
num__icut_uncaring,0.09066490029770331
num__cbcl_aggressive_behavior_proxy,0.0865153519780101
num__comorbidity_count_5targets,0.07712965172111068
num__icut_total,0.07579285231025593
num__ari_p_symptom_total,0.06443125947704903
num__icut_callousness,0.04378411171039847
num__ari_sr_impairment_item,0.03979101001249165
num__icut_unemotional,0.026153630458706455
num__ari_p_impairment_item,0.021019587713778265
num__sdq_hyperactivity_inattention,0.019748782783536135
num__cbcl_attention_problems_proxy,0.01953184613543794
num__sdq_total_difficulties,0.018262046407553828
num__sdq_conduct_problems,0.018033645456026884
num__cbcl_internalizing_proxy,0.015141805594123613
num__sdq_prosocial_behavior,0.01260727227988789
num__cbcl_anxious_depressed_proxy,0.01175568048030249
num__sdq_emotional_symptoms,0.01115403049300574
num__age_years,0.011076266595721893
num__sdq_peer_problems,0.010984995228889096
num__sdq_impact,0.007992025509667568
cat__sex_assigned_at_birth_Male,0.0023687272042990193
cat__sex_assigned_at_birth_Female,0.002085502540385575
cat__site_Staten Island,0.001587590388707744
cat__site_CBIC,0.0015597238954906654
cat__site_RUBIC,0.0015592289003340167
cat__site_CUNY,0.0010409561542907176
num__ysr_anxious_depressed_proxy,7.325993226185899e-05
num__ysr_attention_problems_proxy,3.305308181364036e-05
num__ysr_rule_breaking_proxy,2.800219963301358e-05
num__ysr_aggressive_behavior_proxy,1.7511120309143286e-05
num__ysr_externalizing_proxy,5.008565130989148e-06
num__ysr_internalizing_proxy,3.372056187583297e-06
num__has_icut,0.0
num__has_sdq,0.0
num__has_ysr,0.0
cat__sex_assigned_at_birth_Unknown,0.0
num__has_ari_p,0.0
num__has_ari_sr,0.0
num__has_cbcl,0.0
num__release,0.0
