feature,importance
num__cbcl_externalizing_proxy,0.1618466101171821
num__cbcl_rule_breaking_proxy,0.1349578045266953
num__cbcl_aggressive_behavior_proxy,0.13145817944775787
num__ari_sr_symptom_total,0.10360044684643019
num__icut_total,0.10141763962206116
num__ari_p_symptom_total,0.09161098348727068
num__sdq_total_difficulties,0.04425729202938972
num__cbcl_attention_problems_proxy,0.04348506455098231
num__sdq_conduct_problems,0.03914824995342192
num__sdq_hyperactivity_inattention,0.03234484777380727
num__cbcl_internalizing_proxy,0.022261915470695424
num__sdq_emotional_symptoms,0.022161222398952928
num__age_years,0.019697068223093236
num__cbcl_anxious_depressed_proxy,0.01881767416773496
num__sdq_impact,0.016544682494122838
cat__sex_assigned_at_birth_Male,0.0036932991667245636
cat__sex_assigned_at_birth_Female,0.0032436292716761773
cat__site_CBIC,0.0027622581655924855
cat__site_Staten Island,0.0024751836479234178
cat__site_RUBIC,0.002344000562857896
cat__site_CUNY,0.0018719480756274635
num__release,0.0
num__has_sdq,0.0
num__has_cbcl,0.0
num__has_ari_sr,0.0
num__has_ari_p,0.0
num__has_icut,0.0
cat__sex_assigned_at_birth_Unknown,0.0
