feature,importance
num__cbcl_internalizing_proxy,0.15941880163635977
num__cbcl_anxious_depressed_proxy,0.14668458383279875
num__mfq_sr_total,0.09458541753819442
num__sdq_total_difficulties,0.08346108182253396
num__sdq_hyperactivity_inattention,0.07773604613758309
num__mfq_p_total,0.06883482042257195
num__sdq_emotional_symptoms,0.05766772170868239
num__sdq_conduct_problems,0.05528109102948583
num__cdi_total,0.03904568229476405
num__sdq_peer_problems,0.038654775828185675
num__sdq_prosocial_behavior,0.03302555681383735
num__cbcl_externalizing_proxy,0.024858284750885865
num__cbcl_attention_problems_proxy,0.021525387395570986
num__sdq_impact,0.020443303610902477
num__age_years,0.020178436887031272
num__cbcl_aggressive_behavior_proxy,0.02017746886555369
num__cbcl_rule_breaking_proxy,0.018857217652471926
cat__site_CBIC,0.004129168153458931
cat__sex_assigned_at_birth_Female,0.003991262610891512
cat__sex_assigned_at_birth_Male,0.003513433420128598
cat__site_RUBIC,0.003044631560560999
cat__site_Staten Island,0.0027549007707299814
cat__site_CUNY,0.002130925256816525
num__release,0.0
num__has_cbcl,0.0
num__has_cdi,0.0
cat__sex_assigned_at_birth_Unknown,0.0
num__has_mfq_sr,0.0
num__has_mfq_p,0.0
num__has_sdq,0.0
