feature,importance_mean,importance_std
num__has_sdq,0.10830729166666668,0.014477714630429005
num__cbcl_externalizing_proxy,0.07828125000000005,0.008530544079463341
num__sdq_peer_problems,0.05257812500000001,0.008602978000015431
num__mfq_sr_total,0.03335937500000006,0.012311512932797667
num__release,0.022161458333333404,0.013464674960361857
num__sdq_prosocial_behavior,0.01960937500000006,0.006903547108089536
num__sdq_total_difficulties,0.019427083333333407,0.011970501848148588
num__cbcl_aggressive_behavior_proxy,0.01765625000000006,0.004966795125575913
num__sdq_conduct_problems,0.015286458333333374,0.01247219128924651
num__cdi_total,0.013750000000000063,0.009988464483746054
num__has_mfq_p,0.013333333333333374,0.006780141838538094
cat__sex_assigned_at_birth_Male,0.012760416666666718,0.009548453281523928
num__sdq_impact,0.01117187500000003,0.007560788804334529
num__cbcl_internalizing_proxy,0.010000000000000031,0.008164965809277286
num__sdq_hyperactivity_inattention,0.008046875000000031,0.008164965809277286
num__cbcl_attention_problems_proxy,0.0052864583333333435,0.006666666666666687
num__cbcl_rule_breaking_proxy,0.003515625,0.00078125
cat__sex_assigned_at_birth_Female,0.0029427083333333436,0.005885416666666686
num__age_years,0.0025520833333333437,0.007111139509356294
num__cbcl_anxious_depressed_proxy,0.0,0.0
num__has_cbcl,0.0,0.0
num__sdq_emotional_symptoms,0.0,0.0
num__has_cdi,0.0,0.0
num__has_mfq_sr,0.0,0.0
num__mfq_p_total,0.0,0.0
