feature,importance_mean,importance_std
cat__sex_assigned_at_birth_Male,0.04222689075630257,0.014528145015973033
num__cbcl_014,0.014705882352941235,0.0
num__cbcl_internalizing_proxy,0.012161531279178383,0.006129129199729736
num__cbcl_attention_problems_proxy,0.011764705882352988,0.005882352941176495
num__cbcl_073,0.011764705882352988,0.005882352941176495
num__cbcl_090,0.010807656395891718,0.007204381596421141
num__cbcl_037,0.010410830999066322,0.007817320566870638
num__cbcl_052,0.00882352941176474,0.007204381596421141
num__cbcl_106,0.00882352941176474,0.007204381596421141
num__cbcl_rule_breaking_proxy,0.005882352941176494,0.00720438159642114
num__cbcl_043,0.002941176470588247,0.00691723320995982
num__release,0.0023809523809523725,0.0007936507936507908
num__cbcl_091,0.001984126984126977,0.0
num__cbcl_089,0.001984126984126977,0.0
num__cbcl_101,0.001984126984126977,0.0
num__cbcl_025,0.001984126984126977,0.0
num__cbcl_aggressive_behavior_proxy,0.001984126984126977,0.0
num__cbcl_066,0.001984126984126977,0.0
num__cbcl_056,0.0015873015873015817,0.0007936507936507908
num__cbcl_068,0.0015873015873015817,0.0007936507936507908
num__cbcl_036,0.0015873015873015817,0.0007936507936507908
num__cbcl_anxious_depressed_proxy,0.0011904761904761862,0.0009720197391996703
num__cbcl_029,0.0011904761904761862,0.0009720197391996703
num__cbcl_032,0.0011904761904761862,0.0009720197391996703
num__cbcl_038,0.0011904761904761862,0.0015873015873015817
num__sdq_13,0.0011904761904761862,0.0009720197391996703
num__cbcl_044,0.0011904761904761862,0.0009720197391996703
num__sdq_14,0.0011904761904761862,0.0009720197391996703
num__cbcl_096,0.0011904761904761862,0.0009720197391996703
num__cbcl_080,0.0011904761904761862,0.0009720197391996703
num__sdq_23,0.0011904761904761862,0.0009720197391996703
num__cbcl_006,0.0011904761904761862,0.0009720197391996703
num__cbcl_023,0.0011904761904761862,0.0009720197391996703
num__cbcl_085,0.0007936507936507908,0.0009720197391996703
num__has_cbcl,0.0007936507936507908,0.0009720197391996703
num__cbcl_042,0.0007936507936507908,0.0009720197391996703
num__comorbidity_count_5targets,0.0007936507936507908,0.0015873015873015817
num__cbcl_086,0.0007936507936507908,0.0009720197391996703
num__cbcl_100,0.0007936507936507908,0.0009720197391996703
num__sdq_07,0.0007936507936507908,0.0009720197391996703
num__cbcl_061,0.0007936507936507908,0.0009720197391996703
num__cbcl_102,0.0003968253968253954,0.0007936507936507908
num__cbcl_055,0.0003968253968253954,0.0007936507936507908
num__cbcl_075,0.0003968253968253954,0.0007936507936507908
num__cbcl_048,0.0003968253968253954,0.0014847846772912412
num__cbcl_059,0.0003968253968253954,0.0007936507936507908
num__cbcl_115,0.0003968253968253954,0.0007936507936507908
num__has_sdq,0.0003968253968253954,0.0007936507936507908
num__sdq_01,0.0003968253968253954,0.0007936507936507908
cat__sex_assigned_at_birth_Female,0.0003968253968253954,0.0007936507936507908
num__sdq_total_difficulties,0.0003968253968253954,0.0007936507936507908
num__cbcl_018,0.0003968253968253954,0.0007936507936507908
num__sdq_05,0.0003968253968253954,0.0007936507936507908
num__sdq_06,0.0003968253968253954,0.0007936507936507908
num__sdq_20,0.0003968253968253954,0.0007936507936507908
num__sdq_21,0.0003968253968253954,0.0007936507936507908
num__sdq_24,0.0,0.0
num__sdq_19,0.0,0.0
num__cbcl_105,0.0,0.0
num__cbcl_104,0.0,0.0
num__cbcl_103,0.0,0.0
num__sdq_22,0.0,0.0
num__cbcl_094,0.0,0.0
num__sdq_25,0.0,0.0
num__sdq_conduct_problems,0.0,0.0
num__cbcl_107,0.0,0.0
num__sdq_emotional_symptoms,0.0,0.0
num__sdq_hyperactivity_inattention,0.0,0.0
num__cbcl_098,0.0,0.0
num__cbcl_097,0.0,0.0
num__sdq_impact,0.0,0.0
num__sdq_peer_problems,0.0,0.0
num__cbcl_099,0.0,0.0
num__cbcl_109,0.0,0.0
num__cbcl_108,0.0,0.0
num__cbcl_110,0.0,0.0
num__sdq_02,0.0,0.0
num__sdq_03,0.0,0.0
num__cbcl_externalizing_proxy,0.0,0.0
num__sdq_04,0.0,0.0
num__sdq_08,0.0,0.0
num__sdq_10,0.0,0.0
num__sdq_11,0.0,0.0
num__cbcl_118,0.0,0.0
num__cbcl_117,0.0,0.0
num__sdq_12,0.0,0.0
num__cbcl_116,0.0,0.0
num__sdq_15,0.0,0.0
num__sdq_16,0.0,0.0
num__cbcl_114,0.0,0.0
num__cbcl_113,0.0,0.0
num__cbcl_112,0.0,0.0
num__sdq_17,0.0,0.0
num__cbcl_111,0.0,0.0
num__sdq_18,0.0,0.0
num__cbcl_095,0.0,0.0
num__age_years,0.0,0.0
num__cbcl_093,0.0,0.0
num__cbcl_041,0.0,0.0
num__cbcl_039,0.0,0.0
num__cbcl_035,0.0,0.0
num__cbcl_034,0.0,0.0
num__cbcl_033,0.0,0.0
num__cbcl_031,0.0,0.0
num__cbcl_030,0.0,0.0
num__cbcl_028,0.0,0.0
num__cbcl_027,0.0,0.0
num__cbcl_026,0.0,0.0
num__cbcl_024,0.0,0.0
num__cbcl_022,0.0,0.0
num__cbcl_021,0.0,0.0
num__cbcl_020,0.0,0.0
num__cbcl_019,0.0,0.0
num__cbcl_017,0.0,0.0
num__cbcl_016,0.0,0.0
num__cbcl_015,0.0,0.0
num__cbcl_013,0.0,0.0
num__cbcl_012,0.0,0.0
num__cbcl_011,0.0,0.0
num__cbcl_010,0.0,0.0
num__cbcl_009,0.0,0.0
num__cbcl_008,0.0,0.0
num__cbcl_007,0.0,0.0
num__cbcl_005,0.0,0.0
num__cbcl_004,0.0,0.0
num__cbcl_003,0.0,0.0
num__cbcl_002,0.0,0.0
num__cbcl_001,0.0,0.0
num__cbcl_092,0.0,0.0
num__cbcl_040,0.0,0.0
num__cbcl_045,0.0,0.0
num__cbcl_046,0.0,0.0
num__cbcl_088,0.0,0.0
num__cbcl_087,0.0,0.0
num__cbcl_084,0.0,0.0
num__cbcl_083,0.0,0.0
num__cbcl_082,0.0,0.0
num__cbcl_081,0.0,0.0
num__cbcl_078,0.0,0.0
num__cbcl_077,0.0,0.0
num__cbcl_076,0.0,0.0
num__cbcl_074,0.0,0.0
num__cbcl_072,0.0,0.0
num__cbcl_071,0.0,0.0
num__cbcl_070,0.0,0.0
num__cbcl_069,0.0,0.0
num__cbcl_067,0.0,0.0
num__cbcl_065,0.0,0.0
num__cbcl_064,0.0,0.0
num__cbcl_063,0.0,0.0
num__cbcl_062,0.0,0.0
num__cbcl_060,0.0,0.0
num__cbcl_058,0.0,0.0
num__cbcl_057,0.0,0.0
num__cbcl_054,0.0,0.0
num__cbcl_053,0.0,0.0
num__cbcl_051,0.0,0.0
num__cbcl_050,0.0,0.0
num__cbcl_049,0.0,0.0
num__cbcl_079,0.0,0.0
num__cbcl_047,-0.0007936507936507908,0.0009720197391996703
num__sdq_09,-0.0037348272642390157,0.006523013078203136
num__sdq_prosocial_behavior,-0.014705882352941124,0.0012548720873684
