feature,importance_mean
num__comorbidity_count_5targets,0.048801038488758434
num__cbcl_internalizing_proxy,0.018601106012730156
num__cbcl_rule_breaking_proxy,0.017266918389675544
num__swan_total,0.016617730320480646
num__cbcl_attention_problems_proxy,0.014466788331509255
num__swan_inattention_total,0.011934932476560483
num__cbcl_anxious_depressed_proxy,0.011753613151062514
num__cbcl_externalizing_proxy,0.011595676665297329
num__icut_uncaring,0.011438706043582278
num__scared_sr_total,0.01128704768931583
num__cbcl_015,0.011089037891559775
num__swan_hyperactive_impulsive_total,0.010527094038072799
num__icut_total,0.010417842033552725
num__mfq_sr_total,0.009487339150532948
num__icut_callousness,0.009442649608073974
num__cbcl_014,0.008845621967405173
num__ari_sr_symptom_total,0.008602845316513957
num__cbcl_030,0.007860079067579667
num__cbcl_007,0.007546288655020767
num__cbcl_010,0.0075265704852231965
num__swan_08,0.0073622118536916335
num__cbcl_064,0.007321146924194996
num__ari_p_symptom_total,0.007208039421970699
num__cbcl_071,0.007032650904049925
num__scared_p_total,0.006799019621594818
num__cbcl_002,0.006592509932624706
num__mfq_p_total,0.006538091077730616
num__cbcl_024,0.006443485588276857
num__cdi_total,0.0063798538125618125
num__swan_05,0.0063684006927029885
num__swan_13,0.006351582796116954
num__cbcl_011,0.006195255569612928
num__swan_16,0.006164335780474007
num__scared_sr_social_anxiety,0.006033553195341763
num__sdq_total_difficulties,0.005996185821466826
num__cbcl_019,0.005841791589629669
num__scared_sr_panic_somatic,0.005767239039136718
num__cbcl_aggressive_behavior_proxy,0.005723825798257956
num__cbcl_022,0.005669398788862731
num__icut_10,0.005572305344468402
num__scared_sr_generalized_anxiety,0.005535756042526081
num__cbcl_020,0.005461382219895244
num__cbcl_037,0.00538836138397321
num__age_years,0.005354349139882944
num__cbcl_012,0.005301383219198634
num__scared_p_generalized_anxiety,0.005130658220609874
num__cbcl_009,0.0050645091157841965
num__icut_unemotional,0.005032241989993298
num__cbcl_060,0.004980752008171388
num__cbcl_045,0.004956654874035677
num__cbcl_046,0.004954732256658037
num__cbcl_016,0.004938302062765688
num__cbcl_006,0.004744076242200412
num__swan_02,0.004578356773373454
num__cbcl_061,0.004563512999728103
num__sdq_peer_problems,0.004481648404909966
num__cbcl_001,0.004416427904223197
num__ari_sr_06,0.004415413125611269
num__cbcl_043,0.004345503969463667
num__icut_20,0.004338212774265627
num__swan_09,0.004293448240291447
num__scared_p_separation_anxiety,0.004118986940011117
num__swan_14,0.004096044545177752
num__scared_sr_separation_anxiety,0.003969492893616778
num__swan_06,0.003967854367538847
num__sdq_hyperactivity_inattention,0.003944780036781144
num__icut_11,0.003918766314185801
num__swan_10,0.0038681306575218547
num__cbcl_034,0.0038382230671177137
num__swan_03,0.0038093640860318414
num__cbcl_089,0.003795931714528132
num__cbcl_070,0.003719563396623557
num__sdq_conduct_problems,0.00370893399670955
num__cbcl_072,0.0035413861612979824
num__ari_p_02,0.003530566335010767
num__cbcl_041,0.0034772710921025644
num__cbcl_047,0.003447062580325166
num__icut_07,0.0034205078712221484
num__sdq_emotional_symptoms,0.00341911945602063
num__cbcl_027,0.0033360176707452754
num__scared_p_panic_somatic,0.0033265344214403305
num__cbcl_069,0.0033188721991700256
num__cbcl_099,0.0033048231981317434
num__cbcl_023,0.003274132565806093
num__cbcl_029,0.003253091206002495
num__icut_08,0.003231673358502503
num__cbcl_052,0.0031814475714003615
num__cbcl_026,0.0031355819058097533
num__swan_07,0.003040116847602352
num__ari_sr_04,0.0030365618976099483
num__cbcl_031,0.0030295736244413357
num__cbcl_003,0.003011405265078696
num__icut_12,0.002978529036360215
num__swan_01,0.002976357918186289
num__cbcl_021,0.002951459897030865
num__cbcl_083,0.0029215420846551315
