feature,importance_mean,importance_std
feature_812,0.03164364491498779,0.002185607788030371
num__icut_18,0.003866559455772367,0.0012628274503325555
num__has_mfq_p,0.0023127614357391748,0.001083959907496302
num__icut_10,0.002189653346057274,0.0010579186324077632
num__sdq_17,0.0019622829510891116,0.0009044095635382359
num__mfq_p_05,0.0018993951119450569,0.0012826320858540334
num__has_ari_sr,0.001716599306321842,0.002088247764305344
num__sdq_18,0.0016520298138234413,0.0010457110765881759
feature_623,0.0016511074074505583,0.0
num__icut_19,0.0016511074074505583,0.0
num__icut_05,0.0016511074074505583,0.0
num__scared_p_28,0.001527365570331285,0.0005452969593179959
num__icut_24,0.0015073972261068435,0.0008114885736141545
feature_691,0.0013618058182466974,0.0013440545211787372
num__mfq_p_19,0.001360262605393281,0.0011087225610902074
feature_673,0.0012581270436476943,0.0012445299433960961
feature_679,0.0012390958762234171,0.0013704526518079057
num__icut_11,0.0011960767474223477,0.0005572964671954806
feature_674,0.0011351265491765794,0.0
num__mfq_p_11,0.0011152684130598446,0.001482687522672602
num__icut_13,0.0009934278148836738,0.0019822574940207742
feature_684,0.000990664444470335,0.0008088741317566937
num__mfq_p_17,0.0009081012393412635,0.0004540506196706317
num__mfq_p_29,0.0009081012393412635,0.0004540506196706317
num__icut_04,0.000865712021648446,0.0010945871359320995
num__mfq_p_04,0.0006604429629802234,0.0008088741317566937
num__ari_p_05,0.0006604429629802234,0.0008088741317566937
num__mfq_sr_09,0.0006383399359181308,0.0005440418767565995
num__mfq_p_07,0.000578940367760361,0.0007000669861022216
num__mfq_p_23,0.000578940367760361,0.0007000669861022216
num__mfq_p_13,0.000578940367760361,0.0007000669861022216
feature_688,0.000578940367760361,0.0007000669861022216
feature_683,0.000578940367760361,0.0007000669861022216
num__mfq_p_08,0.0005783097418996963,0.0010016821440714603
num__mfq_p_09,0.0004763167130079404,0.000646579094751581
num__mfq_p_26,0.00047617418015410973,0.0010785294573388735
feature_675,0.00045405061967063176,0.0005560961677937792
num__scared_sr_school_avoidance,0.00045405061967063176,0.0005560961677937792
num__scared_sr_total,0.00045405061967063176,0.0005560961677937792
num__ysr_013,0.00045405061967063176,0.0005560961677937792
num__mfq_p_18,0.00045405061967063176,0.0005560961677937792
num__mfq_sr_01,0.00045405061967063176,0.0005560961677937792
feature_587,0.00043278438868232794,0.0010781011425394452
feature_681,0.0003519150579250452,0.0006661224136217431
num__mfq_p_03,0.00033114003915768464,0.0012341031646634134
feature_676,0.00033114003915768464,0.0012341031646634136
num__scared_p_02,0.0002496374439378224,0.0011424311617017912
num__mfq_p_31,0.00022702530983531588,0.0004540506196706317
num__icut_callousness,0.00022702530983531588,0.0004540506196706317
num__mfq_p_30,0.00022702530983531588,0.00045405061967063176
num__ari_p_04,0.00020711339180821132,0.0017308704417262398
feature_680,0.0001248897480897293,0.000542460479866158
num__ysr_080,0.00010503328698991954,0.0023550741276417305
num__has_cbcl,8.031663584633364e-05,0.0010782161992001305
feature_677,2.261213410250651e-05,0.0010532113024010604
num__has_scared_p,2.261213410250651e-05,0.0010532113024010604
num__scared_sr_08,3.670403346656137e-06,0.002083427473606079
num__ari_sr_symptom_total,1.8371153351459669e-06,0.0014747416891656702
num__icut_14,9.185576675729834e-07,0.0010428002534664995
num__swan_04,0.0,0.0
num__sdq_conduct_problems,0.0,0.0
num__swan_05,0.0,0.0
num__swan_06,0.0,0.0
feature_740,0.0,0.0
