model_id,task,disorder,dataset_name,variant,version,is_primary_recommended,threshold,threshold_method,balanced_accuracy_test,recall_test,specificity_test,f1_test,roc_auc_test,pr_auc_test,artifact_pipeline_path,artifact_metadata_path,artifact_calibrated_path
dataset_adhd_clinical__strict_no_leakage,binary,adhd,dataset_adhd_clinical,clinical,strict_no_leakage,1,0.656281033406496,youden_j,0.8373511904761904,0.79375,0.8809523809523809,0.8410596026490066,0.9226686507936508,0.941325747617704,artifacts\models\binary\dataset_adhd_clinical__strict_no_leakage\pipeline.joblib,artifacts\models\binary\dataset_adhd_clinical__strict_no_leakage\metadata.json,artifacts\models\calibrated\dataset_adhd_clinical__strict_no_leakage\calibrated.joblib
dataset_adhd_items__strict_no_leakage,binary,adhd,dataset_adhd_items,items,strict_no_leakage,0,0.774738111573687,youden_j,0.8273809523809523,0.75,0.9047619047619048,0.821917808219178,0.9231150793650794,0.9420887010295378,artifacts\models\binary\dataset_adhd_items__strict_no_leakage\pipeline.joblib,artifacts\models\binary\dataset_adhd_items__strict_no_leakage\metadata.json,artifacts\models\calibrated\dataset_adhd_items__strict_no_leakage\calibrated.joblib
dataset_adhd_minimal__strict_no_leakage,binary,adhd,dataset_adhd_minimal,minimal,strict_no_leakage,0,0.5998871827155784,youden_j,0.8371031746031745,0.825,0.8492063492063492,0.8488745980707395,0.9221726190476192,0.9410197959829264,artifacts\models\binary\dataset_adhd_minimal__strict_no_leakage\pipeline.joblib,artifacts\models\binary\dataset_adhd_minimal__strict_no_leakage\metadata.json,artifacts\models\calibrated\dataset_adhd_minimal__strict_no_leakage\calibrated.joblib
dataset_anxiety_combined__strict_no_leakage,binary,anxiety,dataset_anxiety_combined,combined,strict_no_leakage,0,0.2281844962278277,youden_j,0.8415674603174603,0.9206349206349206,0.7625,0.8285714285714286,0.9421130952380952,0.9288591775147812,artifacts\models\binary\dataset_anxiety_combined__strict_no_leakage\pipeline.joblib,artifacts\models\binary\dataset_anxiety_combined__strict_no_leakage\metadata.json,artifacts\models\calibrated\dataset_anxiety_combined__strict_no_leakage\calibrated.joblib
dataset_anxiety_items__strict_no_leakage,binary,anxiety,dataset_anxiety_items,items,strict_no_leakage,1,0.6642207436353612,youden_j,0.8497023809523809,0.7619047619047619,0.9375,0.8275862068965517,0.9434523809523808,0.9313916249030276,artifacts\models\binary\dataset_anxiety_items__strict_no_leakage\pipeline.joblib,artifacts\models\binary\dataset_anxiety_items__strict_no_leakage\metadata.json,artifacts\models\calibrated\dataset_anxiety_items__strict_no_leakage\calibrated.joblib
dataset_anxiety_parent__strict_no_leakage,binary,anxiety,dataset_anxiety_parent,parent,strict_no_leakage,0,0.5946210961981091,youden_j,0.8380456349206349,0.7698412698412699,0.90625,0.8151260504201681,0.9434027777777778,0.9310055866546916,artifacts\models\binary\dataset_anxiety_parent__strict_no_leakage\pipeline.joblib,artifacts\models\binary\dataset_anxiety_parent__strict_no_leakage\metadata.json,artifacts\models\calibrated\dataset_anxiety_parent__strict_no_leakage\calibrated.joblib
dataset_conduct_clinical__strict_no_leakage,binary,conduct,dataset_conduct_clinical,clinical,strict_no_leakage,0,0.3718385021926402,youden_j,0.8559718969555035,0.7857142857142857,0.9262295081967212,0.7096774193548387,0.9539422326307572,0.7515055195766542,artifacts\models\binary\dataset_conduct_clinical__strict_no_leakage\pipeline.joblib,artifacts\models\binary\dataset_conduct_clinical__strict_no_leakage\metadata.json,artifacts\models\calibrated\dataset_conduct_clinical__strict_no_leakage\calibrated.joblib
dataset_conduct_items__strict_no_leakage,binary,conduct,dataset_conduct_items,items,strict_no_leakage,0,0.377854969097109,youden_j,0.8461163153786104,0.7619047619047619,0.930327868852459,0.7032967032967034,0.9523809523809524,0.7570978073788261,artifacts\models\binary\dataset_conduct_items__strict_no_leakage\pipeline.joblib,artifacts\models\binary\dataset_conduct_items__strict_no_leakage\metadata.json,artifacts\models\calibrated\dataset_conduct_items__strict_no_leakage\calibrated.joblib
dataset_conduct_minimal__strict_no_leakage,binary,conduct,dataset_conduct_minimal,minimal,strict_no_leakage,1,0.1655014032004218,youden_j,0.8868071818891491,0.9047619047619048,0.8688524590163934,0.6785714285714286,0.952088212334114,0.7363226858783782,artifacts\models\binary\dataset_conduct_minimal__strict_no_leakage\pipeline.joblib,artifacts\models\binary\dataset_conduct_minimal__strict_no_leakage\metadata.json,artifacts\models\calibrated\dataset_conduct_minimal__strict_no_leakage\calibrated.joblib
dataset_depression_combined__strict_no_leakage,binary,depression,dataset_depression_combined,combined,strict_no_leakage,0,0.1003379123577121,youden_j,0.87578125,0.9,0.8515625,0.5684210526315789,0.930078125,0.576209992776318,artifacts\models\binary\dataset_depression_combined__strict_no_leakage\pipeline.joblib,artifacts\models\binary\dataset_depression_combined__strict_no_leakage\metadata.json,artifacts\models\calibrated\dataset_depression_combined__strict_no_leakage\calibrated.joblib
