domain,model_id,seed,threshold,val_precision,val_balanced_accuracy,val_recall,test_precision,test_balanced_accuracy,test_recall,source,split_seed
adhd,domain_adhd_research_full,7.0,0.05,1.0,0.9906832298136645,0.9813664596273292,1.0,1.0,1.0,seed,
adhd,domain_adhd_research_full,21.0,0.05,1.0,0.9906832298136645,0.9813664596273292,1.0,1.0,1.0,seed,
adhd,domain_adhd_research_full,42.0,0.05,1.0,0.9906832298136645,0.9813664596273292,1.0,1.0,1.0,seed,
adhd,domain_adhd_research_full,84.0,0.05,1.0,0.9906832298136645,0.9813664596273292,1.0,1.0,1.0,seed,
adhd,domain_adhd_research_full,2026.0,0.05,1.0,0.9906832298136645,0.9813664596273292,1.0,1.0,1.0,seed,
anxiety,domain_anxiety_strict_full,7.0,0.05,1.0,1.0,1.0,0.9701492537313433,0.9878787878787879,0.9848484848484849,seed,
anxiety,domain_anxiety_strict_full,21.0,0.05,1.0,1.0,1.0,0.9701492537313433,0.9878787878787879,0.9848484848484849,seed,
anxiety,domain_anxiety_strict_full,42.0,0.05,1.0,1.0,1.0,0.9701492537313433,0.9878787878787879,0.9848484848484849,seed,
anxiety,domain_anxiety_strict_full,84.0,0.05,1.0,1.0,1.0,0.9701492537313433,0.9878787878787879,0.9848484848484849,seed,
anxiety,domain_anxiety_strict_full,2026.0,0.05,1.0,1.0,1.0,0.9701492537313433,0.9878787878787879,0.9848484848484849,seed,
conduct,domain_conduct_research_full,7.0,0.7999999999999999,1.0,0.9875,0.975,0.9743589743589743,0.9701456310679611,0.95,seed,
conduct,domain_conduct_research_full,21.0,0.75,1.0,0.99375,0.9875,0.9746835443037974,0.9763956310679611,0.9625,seed,
conduct,domain_conduct_research_full,42.0,0.85,1.0,0.98125,0.9625,0.9743589743589743,0.9701456310679611,0.95,seed,
conduct,domain_conduct_research_full,84.0,0.7999999999999999,1.0,0.9875,0.975,0.974025974025974,0.9638956310679612,0.9375,seed,
conduct,domain_conduct_research_full,2026.0,0.75,1.0,0.99375,0.9875,0.975,0.9826456310679612,0.975,seed,
depression,domain_depression_strict_full,7.0,0.75,0.9827586206896551,0.9941860465116279,1.0,0.9741379310344828,0.9825324180015256,0.9826086956521739,seed,
depression,domain_depression_strict_full,21.0,0.75,0.9827586206896551,0.9941860465116279,1.0,0.9739130434782609,0.9781845919145691,0.9739130434782609,seed,
depression,domain_depression_strict_full,42.0,0.75,0.9827586206896551,0.9941860465116279,1.0,0.9739130434782609,0.9781845919145691,0.9739130434782609,seed,
depression,domain_depression_strict_full,84.0,0.7,0.9827586206896551,0.9941860465116279,1.0,0.9741379310344828,0.9825324180015256,0.9826086956521739,seed,
depression,domain_depression_strict_full,2026.0,0.75,0.9827586206896551,0.9941860465116279,1.0,0.9739130434782609,0.9781845919145691,0.9739130434782609,seed,
elimination,domain_elimination_strict_full,7.0,0.05,1.0,1.0,1.0,1.0,1.0,1.0,seed,
elimination,domain_elimination_strict_full,21.0,0.05,1.0,1.0,1.0,1.0,1.0,1.0,seed,
elimination,domain_elimination_strict_full,42.0,0.05,1.0,1.0,1.0,1.0,1.0,1.0,seed,
elimination,domain_elimination_strict_full,84.0,0.05,1.0,1.0,1.0,1.0,1.0,1.0,seed,
elimination,domain_elimination_strict_full,2026.0,0.05,1.0,1.0,1.0,1.0,1.0,1.0,seed,
adhd,domain_adhd_research_full,,0.05,1.0,0.9906832298136645,0.9813664596273292,1.0,1.0,1.0,split,42.0
adhd,domain_adhd_research_full,,0.05,1.0,0.9968944099378882,0.9937888198757764,0.9938271604938271,0.996,1.0,split,101.0
adhd,domain_adhd_research_full,,0.05,1.0,1.0,1.0,1.0,1.0,1.0,split,777.0
anxiety,domain_anxiety_strict_full,,0.05,1.0,1.0,1.0,0.9701492537313433,0.9878787878787879,0.9848484848484849,split,42.0
anxiety,domain_anxiety_strict_full,,0.35,1.0,0.9772727272727273,0.9545454545454546,0.9848484848484849,0.9901515151515152,0.9848484848484849,split,101.0
anxiety,domain_anxiety_strict_full,,0.49999999999999994,1.0,1.0,1.0,1.0,1.0,1.0,split,777.0
conduct,domain_conduct_research_full,,0.85,1.0,0.98125,0.9625,0.9743589743589743,0.9701456310679611,0.95,split,42.0
conduct,domain_conduct_research_full,,0.85,0.9518072289156626,0.9840412621359224,0.9875,0.9512195121951219,0.9777912621359224,0.975,split,101.0
conduct,domain_conduct_research_full,,0.85,0.9746835443037974,0.9763956310679611,0.9625,1.0,0.9625,0.925,split,777.0
depression,domain_depression_strict_full,,0.75,0.9827586206896551,0.9941860465116279,1.0,0.9739130434782609,0.9781845919145691,0.9739130434782609,split,42.0
depression,domain_depression_strict_full,,0.9,0.972972972972973,0.9649632802937576,0.9473684210526315,0.9912280701754386,0.9883803712178998,0.9826086956521739,split,101.0
depression,domain_depression_strict_full,,0.6,0.9911504424778761,0.9883210934312525,0.9824561403508771,0.9478260869565217,0.956369183829138,0.9478260869565217,split,777.0
elimination,domain_elimination_strict_full,,0.05,1.0,1.0,1.0,1.0,1.0,1.0,split,42.0
elimination,domain_elimination_strict_full,,0.05,1.0,1.0,1.0,1.0,1.0,1.0,split,101.0
elimination,domain_elimination_strict_full,,0.05,1.0,1.0,1.0,1.0,1.0,1.0,split,777.0
